fish,dspeed,baseline,Stimulus_db
a0p5_01f01,-0.313011705555556,2.49831667222222,14
a0p5_01f02,-0.823004918055555,3.59624378472222,14
a0p5_01f03,0.333194680555556,3.92987268611111,14
a0p5_01f04,-0.521408122222222,4.21933822222222,14
a0p5_01f05,-0.637934395833334,4.45532249583333,14
a0p5_01f06,-2.03016065,4.27953271666667,14
a0p5_01f07,-0.727155338888889,3.47068963888889,14
a0p5_01f08,-1.28192961805556,3.68438318472222,14
a0p5_01f09,-2.30580633194444,3.96937906527778,14
a0p5_02f01,-1.85522253888889,3.67654603888889,14
a0p5_02f02,-0.353041156944445,4.05658042361111,14
a0p5_02f03,0.646939839583333,2.00370731041667,14
a0p5_02f04,-0.999123752777778,3.48025438611111,14
a0p5_02f05,-1.04344231944444,3.27860848611111,14
a0p5_02f06,-0.567963163888889,3.30588343055556,14
a0p5_02f07,-0.102771351388889,4.33166971805556,14
a0p5_02f08,-0.01552085,2.66802248333333,14
a0p5_02f09,-1.90184674583333,3.7778088125,14
a1p0_00f01,-0.8919006125,3.58218247916667,20
a1p0_00f02,-1.46301836944444,4.37903366944444,20
a1p0_00f03,-1.32051810416667,3.04114160416667,20
a1p0_00f04,-0.307350419444444,3.43583918611111,20
a1p0_00f05,-1.57309584166667,3.53847744166667,20
a1p0_00f06,-1.13226705138889,3.46712481805556,20
a1p0_00f07,-1.64783149583333,3.2790544625,20
a1p0_00f08,-1.09982687222222,3.70899177222222,20
a1p0_00f09,0.2171379375,2.82302809583333,20
a1p0_01f01,-2.00081081666667,3.19582841666667,20
a1p0_01f02,0.905618663888889,4.73363980277778,20
a1p0_01f03,-0.641023563888889,3.53762739722222,20
a1p0_01f04,-1.95870373125,2.68087273125,20
a1p0_01f05,-1.71984884027778,3.58769137361111,20
a1p0_01f06,-3.54097516111111,5.05451559444445,20
a1p0_01f07,-0.102818747222223,2.17251084722222,20
a1p0_01f08,-1.22888023333333,3.81828143333333,20
a1p0_01f09,-1.02240950833333,2.95705154166667,20
a1p0_02f01,-1.59581635972222,3.41285279305556,20
a1p0_02f02,0.750756711111111,4.07026692222222,20
a1p0_02f03,-0.183919251388889,3.61048148472222,20
a1p0_02f04,-0.721270755555556,3.12988175555556,20
a1p0_02f05,-0.112361697222222,4.07525396388889,20
a1p0_02f06,-1.91059260277778,4.21367273611111,20
a1p0_02f07,-1.56793562916667,3.62362579583333,20
a1p0_02f08,-0.965126309722222,3.68462157638889,20
a1p0_02f09,-1.15780494861111,4.37710274861111,20
a1p0_03f01,-1.45404355138889,3.59868178472222,20
a1p0_03f02,-0.788186029166666,3.4161433625,20
a1p0_03f03,-0.899366477777778,3.86565604444444,20
a1p0_03f04,-1.31401455972222,3.53302762638889,20
a1p0_03f05,-0.270799169444444,4.33572113611111,20
a1p0_03f06,-0.976602277777778,3.88881201111111,20
a1p0_03f07,-1.55471235555556,3.15233278888889,20
a1p0_03f08,-0.371683925,3.572669375,20
a1p0_03f09,0.369013343055555,3.89256655694444,20
a1p5_02f01,-0.315426384722222,3.35145645138889,23
a1p5_02f02,-2.00543669861111,3.94292893194444,23
a1p5_02f03,-0.793804868055556,4.25243713472222,23
a1p5_02f04,-0.7410973125,2.19435317916667,23
a1p5_02f05,-1.39217763194444,3.56459769861111,23
a1p5_02f06,-1.81231830555556,4.95449283888889,23
a1p5_02f07,-0.886622140277778,3.18268467361111,23
a1p5_02f08,-1.45007355,3.63666568333333,23
a1p5_02f09,-1.42496549861111,2.93141373194444,23
a1p5_03f01,-2.33152633055556,4.00100369722222,23
a1p5_03f02,-1.82692736527778,4.40993519861111,23
a1p5_03f03,-1.12212911805556,4.62089491805556,23
a1p5_03f04,-1.44667241527778,4.10469768194444,23
a1p5_03f05,0.375700366666667,4.62465796666667,23
a1p5_03f06,-0.775777983333333,4.81057978333333,23
a1p5_03f07,0.149729894444445,3.28382660555556,23
a1p5_03f08,-1.81610609166667,3.211885025,23
a1p5_03f09,-0.576366652777778,3.92567685277778,23
a2p0_00f01,-1.68889006111111,2.09850372777778,26
a2p0_00f02,-2.02461019166667,2.02461019166667,26
a2p0_00f03,-1.91763509444444,3.17464326111111,26
a2p0_00f04,-1.44492729305556,1.44492729305556,26
a2p0_00f05,-1.66908233611111,2.36571696944444,26
a2p0_00f06,-2.38129450138889,2.38976580138889,26
a2p0_00f07,-1.64786483055556,2.64598393055556,26
a2p0_00f08,-2.1928238375,2.2556352375,26
a2p0_00f09,-2.3491820125,2.3491820125,26
a2p0_01f01,-2.13618657222222,3.62405160555556,26
a2p0_01f02,-2.48604962083333,2.60064917083333,26
a2p0_01f03,-1.01401343472222,2.69296796805556,26
a2p0_01f04,-2.873645475,3.250730175,26
a2p0_01f05,-1.02962821111111,3.41404204444444,26
a2p0_01f06,-2.51456006805556,3.13173360138889,26
a2p0_01f07,-1.83220259722222,3.65567136388889,26
a2p0_01f08,-1.6704859,3.6419426,26
a2p0_01f09,-1.73550534583333,3.53442164583333,26
a2p0_02f01,-1.40321543194444,3.67078906527778,26
a2p0_02f02,-0.909147688888889,3.40815265555556,26
a2p0_02f03,-2.59380657777778,3.30293684444444,26
a2p0_02f04,-1.36229569583333,3.45150072916667,26
a2p0_02f05,-0.925615884722222,3.74004165138889,26
a2p0_02f06,-1.642072525,2.26978359166667,26
a2p0_02f07,-2.57277805416667,3.8431847875,26
a2p0_02f08,0.007855533333333,3.58966363333333,26
a2p0_02f09,-0.818761577777778,4.21665047777778,26
a2p0_03f01,-1.1819229125,2.97698214583333,26
a2p0_03f02,-1.06063185416667,3.9111825875,26
a2p0_03f03,-1.8881762875,3.3086595875,26
a2p0_03f04,-2.68330827222222,2.98903223888889,26
a2p0_03f05,-2.46389201527778,3.77541101527778,26
a2p0_03f06,-2.32473258333333,3.01388981666667,26
a2p0_03f07,-1.21961066944444,2.83712866944444,26
a2p0_03f08,-1.54728266944444,3.72774760277778,26
a2p0_03f09,-1.96377828055556,3.12180241388889,26
