Time,Cond,Plate,ProportionUnbalanced
0.008,control,d118b_09,0.333
0.808,control,d118b_09,0.200
1.608,control,d118b_09,0.067
2.408,control,d118b_09,0.067
3.208,control,d118b_09,0.000
4.008,control,d118b_09,0.000
4.808,control,d118b_09,0.000
5.608,control,d118b_09,0.000
6.408,control,d118b_09,0.000
7.208,control,d118b_09,0.000
8.008,control,d118b_09,0.000
8.808,control,d118b_09,0.000
9.608,control,d118b_09,0.000
10.408,control,d118b_09,0.000
11.208,control,d118b_09,0.000
12.008,control,d118b_09,0.000
12.808,control,d118b_09,0.000
13.608,control,d118b_09,0.000
0.008,control,d118b_10,0.400
0.808,control,d118b_10,0.267
1.608,control,d118b_10,0.067
2.408,control,d118b_10,0.067
3.208,control,d118b_10,0.000
4.008,control,d118b_10,0.000
4.808,control,d118b_10,0.000
5.608,control,d118b_10,0.000
6.408,control,d118b_10,0.000
7.208,control,d118b_10,0.000
8.008,control,d118b_10,0.000
8.808,control,d118b_10,0.000
9.608,control,d118b_10,0.000
10.408,control,d118b_10,0.000
11.208,control,d118b_10,0.000
12.008,control,d118b_10,0.000
12.808,control,d118b_10,0.000
13.608,control,d118b_10,0.000
0.008,arrest,d118b_11,0.533
0.808,arrest,d118b_11,0.400
1.608,arrest,d118b_11,0.200
2.408,arrest,d118b_11,0.067
3.208,arrest,d118b_11,0.000
4.008,arrest,d118b_11,0.000
4.808,arrest,d118b_11,0.000
5.608,arrest,d118b_11,0.000
6.408,arrest,d118b_11,0.000
7.208,arrest,d118b_11,0.000
8.008,arrest,d118b_11,0.000
8.808,arrest,d118b_11,0.000
9.608,arrest,d118b_11,0.000
10.408,arrest,d118b_11,0.000
11.208,arrest,d118b_11,0.000
12.008,arrest,d118b_11,0.000
12.808,arrest,d118b_11,0.000
13.608,arrest,d118b_11,0.000
0.008,control,d118b_12,0.267
0.808,control,d118b_12,0.200
1.608,control,d118b_12,0.200
2.408,control,d118b_12,0.000
3.208,control,d118b_12,0.000
4.008,control,d118b_12,0.000
4.808,control,d118b_12,0.000
5.608,control,d118b_12,0.000
6.408,control,d118b_12,0.000
7.208,control,d118b_12,0.000
8.008,control,d118b_12,0.000
8.808,control,d118b_12,0.000
9.608,control,d118b_12,0.000
10.408,control,d118b_12,0.000
11.208,control,d118b_12,0.000
12.008,control,d118b_12,0.000
12.808,control,d118b_12,0.000
13.608,control,d118b_12,0.000
0.008,arrest,d118b_13,0.600
0.808,arrest,d118b_13,0.533
1.608,arrest,d118b_13,0.333
2.408,arrest,d118b_13,0.200
3.208,arrest,d118b_13,0.133
4.008,arrest,d118b_13,0.067
4.808,arrest,d118b_13,0.067
5.608,arrest,d118b_13,0.000
6.408,arrest,d118b_13,0.000
7.208,arrest,d118b_13,0.000
8.008,arrest,d118b_13,0.000
8.808,arrest,d118b_13,0.000
9.608,arrest,d118b_13,0.000
10.408,arrest,d118b_13,0.000
11.208,arrest,d118b_13,0.000
12.008,arrest,d118b_13,0.000
12.808,arrest,d118b_13,0.000
13.608,arrest,d118b_13,0.000
0.008,control,d118b_14,0.200
0.808,control,d118b_14,0.067
1.608,control,d118b_14,0.067
2.408,control,d118b_14,0.067
3.208,control,d118b_14,0.067
4.008,control,d118b_14,0.067
4.808,control,d118b_14,0.067
5.608,control,d118b_14,0.067
6.408,control,d118b_14,0.000
7.208,control,d118b_14,0.000
8.008,control,d118b_14,0.000
8.808,control,d118b_14,0.000
9.608,control,d118b_14,0.000
10.408,control,d118b_14,0.000
11.208,control,d118b_14,0.000
12.008,control,d118b_14,0.000
12.808,control,d118b_14,0.000
13.608,control,d118b_14,0.000
0.008,arrest,d118b_15,0.667
0.808,arrest,d118b_15,0.267
1.608,arrest,d118b_15,0.267
2.408,arrest,d118b_15,0.267
3.208,arrest,d118b_15,0.267
4.008,arrest,d118b_15,0.267
4.808,arrest,d118b_15,0.200
5.608,arrest,d118b_15,0.200
6.408,arrest,d118b_15,0.200
7.208,arrest,d118b_15,0.133
8.008,arrest,d118b_15,0.067
8.808,arrest,d118b_15,0.067
