Fish,Stimulus_dB,Blk00,Blk01,Blk02,Blk03,Blk04,Blk05,Blk06,Blk07,Blk08,Blk09,Blk10,Blk11,Blk12,Blk13,Blk14,Blk15,Blk16,Blk17,Blk18,Blk19,Blk20,Blk21,Blk22,Blk23,Blk24,Blk25,Blk26,Blk27,Blk28,Blk29,Blk30,Blk31,Blk32,Blk33,Blk34,Blk35,Blk36,Blk37,Blk38,Blk39,Blk40,Blk41,Blk42,Blk43,Blk44,Blk45,Blk46,Blk47,Blk48,Blk49,Blk50,Blk51,Blk52,Blk53,Blk54,Blk55,Blk56,Blk57,Blk58,Blk59,Blk60,Blk61,Blk62,Blk63,Blk64,Blk65
track_tld7_a2p0_00_e00132-f03,26,47.50523,41.34574,25.34429,18.38500,21.95974,42.01548,46.41787,37.24814,31.79689,22.01708,26.68111,26.85714,46.83019,25.55126,32.67899,27.93924,26.71906,35.30637,37.35369,52.42268,33.41399,34.57978,21.09073,19.05146,3.13322,5.35007,5.74973,2.94205,8.02037,3.74931,4.61407,5.83373,3.49611,29.77227,21.05576,30.74942,45.13527,29.31083,44.38030,34.83811,27.54503,38.04316,16.57606,8.72663,12.84539,5.22258,23.65998,25.65045,24.03053,36.44098,38.05014,35.10274,18.39068,16.01982,33.24658,45.24853,47.20467,26.74888,32.17894,25.27667,33.11010,51.76567,30.19285,42.84409,21.12861,20.66047
track_tld7_a2p0_00_e00132-f04,26,18.33428,7.81218,7.12104,8.90641,8.58797,21.76127,18.99757,8.84641,15.18836,13.63983,21.78079,3.47956,15.97860,24.99994,12.92040,4.76162,0.94784,7.27339,2.56452,17.36002,5.47631,9.59646,18.68070,16.38791,0.00000,0.66613,1.50685,2.22861,0.95781,7.48396,2.37981,6.27254,4.94001,2.12928,2.98760,3.18104,4.14454,2.91770,3.66282,4.93402,2.24601,12.91481,6.32869,10.76041,5.28423,3.22079,9.90018,20.11587,15.32971,16.64519,25.78302,21.19699,9.11016,6.68227,17.70414,5.39109,9.23761,11.35422,19.93862,20.22152,21.88018,9.39344,13.42120,9.44202,7.33237,15.96481
track_tld7_a2p0_00_e00132-f05,26,18.09120,10.77340,4.65866,15.04604,19.28965,19.66705,15.41586,17.25672,23.25790,19.39533,19.97952,16.24031,10.47639,22.90064,18.48372,14.42063,17.82466,17.58002,27.08504,8.74841,9.24307,6.90508,14.49129,11.46989,10.13145,8.97401,14.71869,15.71742,27.66213,6.20561,29.03917,30.92118,28.79634,31.55113,26.69803,40.04467,43.26785,19.80082,46.01903,39.34144,32.10858,31.13711,44.88526,44.81677,39.36939,27.62012,11.47535,38.03810,21.69511,25.84243,6.78493,16.35205,15.64172,11.01424,23.30777,14.21687,22.79821,12.31785,21.54109,20.01875,17.66233,11.31204,12.82480,19.15680,19.24367,20.51497
track_tld7_a2p0_00_e00132-f06,26,31.42827,36.76279,15.97563,28.93405,28.12572,29.83234,24.72218,32.73375,45.38094,19.12519,9.25178,16.81034,25.40038,24.78486,24.38023,18.01165,19.73062,21.53971,18.81009,19.15096,14.02537,17.76223,17.26186,16.84928,0.25414,22.05322,21.57790,19.15209,16.36647,22.44039,23.91185,28.13779,23.54470,26.86156,33.66360,21.33171,20.07979,16.86466,33.99696,32.20042,41.61097,53.39520,41.77327,42.00744,21.06884,36.01096,36.47743,42.60744,31.78782,42.23758,31.05925,52.79055,22.64717,25.82538,42.00313,45.51470,37.79664,38.95346,44.91553,32.12773,34.88009,16.93903,17.12422,47.93132,35.77484,30.61738
track_tld7_a2p0_00_e00132-f07,26,23.70265,35.90451,27.54353,23.27960,29.12834,27.91132,32.71667,10.38939,35.05902,29.37692,27.70162,35.92622,24.91083,29.00767,32.95469,10.60100,34.82004,44.23753,32.52956,12.08146,15.65447,25.91978,38.81542,31.65320,7.58049,6.88733,2.83965,7.88127,1.85796,1.26902,1.86279,2.96244,18.09751,17.64143,15.76076,19.76221,10.04505,27.46016,21.25032,24.02315,28.99755,28.46237,40.96064,39.57746,20.22370,29.86815,21.48003,37.24500,17.91280,16.43861,33.50280,35.97780,4.25488,26.01749,22.23523,32.50515,8.32239,23.40570,26.56665,43.25342,13.23712,21.86838,23.19409,12.77933,31.58026,30.83712
track_tld7_a2p0_00_e00132-f08,26,16.69181,15.33710,10.39827,4.21637,18.59086,9.00700,21.72002,12.20884,30.75619,17.49721,19.95079,21.77408,21.05673,28.50721,14.25751,10.59157,28.97271,17.06355,26.48056,19.82406,34.78930,20.72653,28.90802,27.96300,0.00000,18.02492,12.18614,8.44515,13.34613,16.80041,5.46932,14.08677,10.85400,28.50580,20.53610,22.50654,6.60082,20.15671,22.03022,17.23093,31.25567,16.13659,32.66352,27.36961,16.12575,12.78418,24.56005,5.76927,7.61568,31.91464,17.07992,26.49688,43.05713,19.64607,11.37378,13.70726,43.14075,36.43413,25.71391,26.45554,24.17509,31.67155,37.91703,33.78561,12.78318,31.65283
track_tld7_a2p0_00_e00132-f09,26,21.28843,32.39931,30.56639,39.97509,23.33756,32.94865,22.66057,21.11320,28.67174,16.58832,25.17992,27.51831,32.06485,27.51765,22.95638,26.16401,11.10908,28.64706,22.82410,19.50133,33.41805,24.94621,35.53793,23.71252,0.00000,8.04782,5.67585,5.56273,2.90630,2.00840,1.64529,4.15175,2.18412,3.19141,1.41410,2.05720,8.69196,19.99845,27.98220,21.40767,12.64451,22.91986,19.67180,36.72915,24.88177,22.20962,40.39489,26.57517,18.40326,17.23957,17.25432,27.32382,26.04632,35.40084,19.80845,24.90983,44.31807,38.21681,25.23336,8.90695,26.27283,10.97471,20.50662,24.60662,15.62931,12.87032
track_tld7_a2p0_01_e00000-f01,26,27.44822,39.75560,27.70568,33.76259,26.61099,29.14149,49.26696,28.41151,38.97169,42.65742,34.08179,34.99893,36.62909,11.11509,45.03918,26.35481,26.41283,29.32298,49.17078,36.01525,39.98459,41.83826,32.93996,34.08812,3.99099,17.81121,16.07771,37.05159,39.00204,35.11151,25.99121,31.58946,42.54228,43.19339,37.92753,34.10903,26.52961,22.03194,34.77028,36.37371,41.32439,29.83036,37.85923,56.19900,47.51233,31.47785,53.65624,8.86933,49.76514,39.94243,44.40030,40.05346,58.94136,21.88017,41.62896,30.78493,44.43173,21.62561,50.58349,25.82273,41.41798,64.38775,40.56694,56.36513,37.32707,40.58396
track_tld7_a2p0_01_e00000-f02,26,31.28298,25.51910,27.52119,28.81387,22.53315,21.22386,22.15700,32.40868,23.55132,7.50986,27.07988,41.81213,29.33110,44.70086,36.87748,37.36794,31.04742,28.81467,43.09156,15.47955,29.81754,27.69548,27.14389,34.78022,1.99498,1.38878,0.85987,1.16454,1.39121,0.83512,0.88039,0.74066,2.12380,6.60578,0.82046,1.00553,0.35784,0.50790,0.23856,0.20024,0.42247,0.30237,0.28213,0.31814,0.24235,0.31576,0.25597,0.21065,0.21543,0.21310,0.14717,0.32167,0.40138,0.24265,0.33594,0.35127,0.34421,0.32459,0.25886,0.25071,0.37698,0.24044,0.34862,0.36258,0.35896,0.26167
track_tld7_a2p0_01_e00000-f03,26,30.75818,25.39954,17.63900,14.32772,21.88052,17.89662,20.97362,19.63401,22.61271,20.73701,17.77273,27.88168,18.75950,19.16346,10.40195,26.80123,39.15077,15.33492,29.14742,26.60141,33.72822,13.46443,19.75036,15.91095,25.59040,13.75775,11.87574,37.26140,34.62210,26.90188,20.71450,28.69831,26.29707,24.43913,30.22121,19.87829,21.46217,19.25818,25.17109,23.58920,28.27205,40.03172,27.42479,28.88353,34.51430,24.06700,20.11643,29.67916,29.80463,28.81212,29.29833,29.69051,32.67299,30.22265,13.96579,19.04130,15.83339,24.14791,19.92526,30.74830,28.94231,29.67276,28.06089,41.33987,21.08548,26.02666
