Group,Baseline,dSpeed
sham,14.6788393333333,-9.91406362100111
sham,16.10195,-10.9409100474667
sham,18.2884786666667,-1.62936323753022
sham,18.6270216666667,-6.93027033718445
sham,18.7986886666667,-16.91825583934
sham,20.2717566666667,-11.8756207622233
sham,21.34797,-19.25890035174
sham,21.400392,-21.400392
sham,22.4014636666667,-16.9819522333356
sham,22.8383763333333,-18.731077056794
sham,23.752685,-8.03444862955167
sham,24.144905,-13.4225470562817
sham,25.1664706666667,-15.7606196985298
sham,25.7820213333333,-17.6791789166364
sham,25.9013023333333,-13.5462516138217
sham,27.7809316666667,-20.7136571171883
sham,29.3014116666667,-18.6038960212044
sham,30.4376893333333,-6.33074515033644
sham,32.285291,-18.1048378693433
sham,32.630683,-22.7041464321473
ablated,15.2137706666667,-9.67280382221511
ablated,18.02059,-9.30923856751
ablated,19.8051616666667,-6.83238467176667
ablated,20.9549553333333,-12.2777667742491
ablated,22.4136026666667,-5.31897204882667
ablated,22.4769323333333,-10.089467862719
ablated,22.856224,0.933105344799998
ablated,24.299635,19.71633504484
ablated,27.7632643333333,-17.3570561047562
