fish,dspeed,baseline,group
r0_00_ f01,-0.855029791666667,8.55029791666667,control
r0_00_ f02,-1.14999089375,12.6534479375,control
r0_00_ f03,-1.91737151111111,23.9424377777778,control
r0_00_ f04,-1.96816761527778,23.8814314861111,control
r0_00_ f05,-1.12703385,12.4070291666667,control
r0_00_ f06,-0.346950209722222,9.19100476388889,control
r0_00_ f07,-1.28405334791667,13.8114849791667,control
r0_00_ f08,-3.55551076111111,39.8017866111111,control
r0_00_ f09,-1.74269721666667,19.3830185,control
r0_01_ f01,-2.09619240972222,23.9612414305556,control
r0_01_ f02,-1.97239472708333,19.7239472708333,control
r0_01_ f03,-1.027073525,11.80373025,control
r0_01_ f04,-0.691801909722222,22.1914954305556,control
r0_01_ f05,-2.40978061388889,29.9805521388889,control
r0_01_ f06,-0.044092497916667,0.440924979166667,control
r0_01_ f07,-1.19897062083333,16.8636712083333,control
r0_01_ f08,-1.54081344583333,22.4874754583333,control
r0_01_ f09,-0.083723758333333,0.837237583333333,control
r2_00_ f01,-0.336745235416667,26.0214183541667,ablated
r2_00_ f02,0.9474118625,0.818283375,ablated
r2_00_ f04,0.020597672916667,0.387112770833333,ablated
r2_00_ f05,-2.44583363194444,31.4916123194444,ablated
r2_00_ f06,-0.900351080555555,19.3319151388889,ablated
r2_00_ f07,0.003531575,1.02275825,ablated
r2_00_ f09,0.074834945833333,0.877646541666667,ablated
r2_01_ f02,-0.08809165,1.300135,ablated
r2_01_ f03,0.206866479166667,12.1601937083333,ablated
r2_01_ f04,-1.72187701458333,17.2187701458333,ablated
r2_01_ f05,0.357446945833333,1.58894754166667,ablated
r2_01_ f06,-0.366857983333333,18.0131098333333,ablated
r2_01_ f08,-0.2290925625,4.075207625,ablated
r2_01_ f09,-0.277595122916667,2.90331822916667,ablated
r2_02_ f01,0.349548366666667,7.27999233333333,ablated
r2_02_ f02,-1.3290077,27.2504523333333,ablated
