fish,dspeed,baseline,group
r0_00_ f01,-1.42065072777778,15.4795039444444,control
r0_00_ f02,-1.768162625,19.30012425,control
r0_00_ f03,-1.22795862708333,13.2825972708333,control
r0_00_ f04,1.98524679583333,8.52634704166667,control
r0_00_ f05,-0.746119023611111,10.9244079027778,control
r0_00_ f06,-1.66931331666667,18.0280591666667,control
r0_00_ f07,-0.935876906944445,13.8392180694444,control
r0_00_ f08,-0.454274227083333,14.4503142708333,control
r0_00_ f09,-0.50209098125,9.0863793125,control
r0_02_ f01,-1.41087044305556,26.7760894305556,control
r0_02_ f02,-1.23612036111111,28.4629586111111,control
r0_02_ f03,-1.28913713472222,20.3583960138889,control
r0_02_ f04,-1.392508925,15.2529695833333,control
r0_02_ f05,-1.99397649305556,21.8876455972222,control
r0_02_ f06,-2.47163724861111,36.0932004861111,control
r0_02_ f07,-2.24506939305556,26.7046225972222,control
r0_02_ f08,-2.16697707916667,26.899797125,control
r0_02_ f09,-1.39189775694444,21.5579362361111,control
r1_00_ f01,-2.79384071944444,30.8334035277778,ablated
r1_00_ f02,-0.260885355555555,21.3072172222222,ablated
r1_00_ f03,-0.329408059722222,20.3412039305556,ablated
r1_00_ f04,-0.696131095833333,25.9928592916667,ablated
r1_00_ f05,-1.40065769027778,20.9788859027778,ablated
r1_00_ f06,-1.39321245138889,17.0856705138889,ablated
r1_00_ f07,-1.74739341527778,22.8725138194444,ablated
r1_00_ f08,-2.22462798472222,29.2008705138889,ablated
r1_00_ f09,-1.75096682083333,17.5517952083333,ablated
r1_02_ f01,-1.85269254583333,18.5943377916667,ablated
r1_02_ f02,-2.1433492125,25.2285707916667,ablated
r1_02_ f03,-0.420372344444444,16.2001524444444,ablated
r1_02_ f04,0.183359825,12.21367775,ablated
r1_02_ f05,-1.20000347777778,18.8493147777778,ablated
r1_02_ f06,-1.27634589027778,23.4615745694444,ablated
r1_02_ f07,-2.80612619305556,30.3817332638889,ablated
r1_02_ f08,-1.25163334305556,21.0613664305556,ablated
r1_02_ f09,-1.21691125833333,19.7199645833333,ablated
