id,cond,baseline,disp24,speedchange,timetorecov
e050uM_02-e09,50 uM,3.466177,2.1308987,-2.92392975,20
f100uM_00-e01,100 uM,3.6384407,1.4948041,-1.47683835,35
f100uM_00-e02,100 uM,3.5271114,1.6283472,0.38294235,10
f100uM_00-e03,100 uM,3.64674,0.7268696,-3.3799046,20
f100uM_00-e04,100 uM,3.302927,0.5985171,-2.7041051,40
f100uM_00-e05,100 uM,4.2193562,0.4341087,-2.314229,10
f100uM_00-e06,100 uM,3.0785322,2.4671455,-0.14103925,10
f100uM_00-e07,100 uM,4.1826656,1.51283,-2.3412521,15
f100uM_00-e08,100 uM,3.4364689,2.7257908,-0.7365902,10
f100uM_00-e09,100 uM,3.1565536,3.1893373,0.5817235,10
f100uM_01-e01,100 uM,4.1120075,0.9674778,-2.2361441,10
f100uM_01-e02,100 uM,3.1402925,0.3035452,-2.9554124,30
f100uM_01-e03,100 uM,3.8697029,2.6461727,-1.5513466,15
f100uM_01-e04,100 uM,3.0986603,1.7961304,-2.2651596,20
f100uM_01-e05,100 uM,3.914275,2.0207438,-1.52246885,10
f100uM_01-e06,100 uM,4.0960583,2.913419,-1.07758125,10
f100uM_01-e07,100 uM,2.4462683,0.0682497,-0.982668,10
f100uM_01-e08,100 uM,3.2790947,1.7498909,-0.97723465,10
f100uM_01-e09,100 uM,3.1836489,0.7575523,-1.4513998,10
f100uM_02-e01,100 uM,3.0952772,0.4059003,-2.9724431,40
f100uM_02-e02,100 uM,3.6976749,1.0286599,-2.59381115,15
f100uM_02-e03,100 uM,3.2038357,1.1877662,-2.5946049,25
f100uM_02-e04,100 uM,4.256966,0.9135985,-2.38583315,10
f100uM_02-e05,100 uM,3.6767155,1.3926251,-0.3488365,10
f100uM_02-e06,100 uM,4.1907257,2.7131647,-2.2361575,15
f100uM_02-e07,100 uM,3.0113024,1.6871143,-0.0474087,10
f100uM_02-e08,100 uM,3.7367901,2.446368,-2.4882263,40
f100uM_02-e09,100 uM,3.2485538,1.2923473,-1.8386697,30
