Group,Baseline,dSpeed
control,30.1829430416667,-17.817269375
control,36.72236025,-21.5792079166667
control,31.5515254166667,-25.48263875
control,32.0203565555555,-26.8747862222222
control,23.80179025,-11.07570525
control,35.3882840833333,-6.92709841666667
control,31.7713706388889,-6.16775363888888
control,43.2912576111111,-8.3713566111111
control,30.9679563333333,-1.08764966666666
control,34.1030419027778,-33.2208052361111
control,21.8417428611111,-10.4078978611111
control,24.9578327916667,-5.213071125
control,37.0499579444444,-10.3740256111111
control,32.6980077638889,-19.2561180972222
control,30.6980914166667,-30.6980914166667
control,31.7177229027778,-22.3285229027778
control,37.9118758194444,-23.5479091527778
control,42.1098953888889,-22.1379243888889
EtOH,9.83439019444444,0.576540472222222
EtOH,10.0816478055556,-8.90481147222222
EtOH,19.7808604305556,-8.87060843055555
EtOH,9.43330966666667,22.6268083333333
EtOH,32.7327541944444,-19.2045531944444
EtOH,20.8729908194444,-1.19181548611111
EtOH,17.6733182083333,15.9017897916667
EtOH,20.8241178333333,-2.54585216666666
EtOH,14.457376625,21.749034375
EtOH,29.8901114305556,-9.54868243055555
EtOH,27.1014945277778,7.18708947222222
EtOH,7.47633620833333,19.2954947916667
EtOH,24.220229875,-8.58023437499999
EtOH,9.04008141666667,27.8440065833333
EtOH,24.1397180972222,-3.81372409722222
EtOH,30.4562604444444,-14.8984534444444
EtOH,21.7833087222222,-6.32741672222222
EtOH,16.7484344305556,1.74466956944444
