Group,Baseline,dSpeed
control,28.6860033194444,-24.4841969861111
control,47.39043425,-35.60965725
control,42.2776815138889,-25.9715218472222
control,46.308076,-0.524517000000003
control,37.3123397361111,-6.07436873611111
control,44.2205816805556,-23.8731653472222
control,41.7161108472222,-28.1968151805556
control,41.046899875,-15.781374875
control,46.06712825,-2.27512725000001
control,34.1296161666667,-21.0612991666667
control,35.8992468888889,-20.7771198888889
control,24.731476375,-9.23446970833333
control,39.1468458472222,0.402186819444443
control,40.1595102916667,-29.552420625
control,37.0127688611111,-15.1944351944444
control,43.7202869722222,-19.0384756388889
control,40.7203655138889,-2.76329218055556
control,32.838698875,-1.914083875
EtOH,7.87170372916667,36.8793932708333
EtOH,51.5491402083333,-50.2760842083333
EtOH,44.5841912777778,-43.4399396111111
EtOH,38.9125579305556,-32.8267349305556
EtOH,35.73111825,-34.8091935833333
EtOH,32.3215945833333,-9.57858008333333
EtOH,33.1420655972222,-16.3118169305556
EtOH,36.4424826388889,-31.7152633055556
EtOH,34.6118033611111,-21.1101643611111
EtOH,37.4262243611111,-27.9875030277778
EtOH,23.9200711805556,-21.4913518472222
EtOH,44.40939725,-33.2716965833333
EtOH,44.2838337361111,-5.67584206944445
EtOH,48.2955166111111,-21.3283559444444
EtOH,42.7038235,-12.5664965
EtOH,24.4524705277778,-11.5476501944445
EtOH,53.6789414444445,-46.7034947777778
EtOH,40.2507985833333,-32.57784025
EtOH,24.9292063611111,-22.7616503611111
EtOH,30.1971518472222,-14.2054928472222
EtOH,26.9094972222222,-19.8368205555556
EtOH,24.9027416111111,-17.4927272777778
EtOH,40.2566159722222,-19.3469239722222
EtOH,47.5453744027778,-19.9755297361111
EtOH,45.1283446388889,-26.9540563055556
EtOH,43.2828136666667,-38.8211416666667
