fish,dspeed,baseline,group
r0_00_f01,-0.822723766666667,2.18472736666667,control
r0_00_f02,-2.05260415972222,2.72001582638889,control
r0_00_f03,-2.297519725,2.79114675833333,control
r0_00_f04,-1.87786259305556,2.31764035972222,control
r0_00_f05,-2.01568461111111,2.14300844444444,control
r0_00_f06,-1.82180717361111,2.64679657361111,control
r0_00_f07,-1.58539007777778,2.15261467777778,control
r0_00_f08,-0.706230275,2.242158475,control
r0_00_f09,-0.913555856944445,2.35297349027778,control
r0_01_f01,-0.948943066666667,1.82647611666667,control
r0_01_f02,-2.27207614583333,2.85831119583333,control
r0_01_f03,-2.57107469166667,3.313784025,control
r0_01_f04,-2.92158465,3.12112711666667,control
r0_01_f05,-1.81836066944444,3.25538003611111,control
r0_01_f06,-1.23525500555556,1.42689393888889,control
r0_01_f07,-2.87933447083333,3.09819887083333,control
r0_01_f08,-2.44905340416667,3.0827631375,control
r0_01_f09,-1.98975152916667,2.33883302916667,control
r0_02_f01,-3.55076422361111,4.12750682361111,control
r0_02_f02,-1.47212250416667,3.18808900416667,control
r0_02_f03,-1.24655312083333,3.90959072083333,control
r0_02_f04,-2.69607969444444,2.85409356111111,control
r0_02_f05,-2.43640472638889,3.04274519305556,control
r0_02_f06,-3.36546719583333,3.72082589583333,control
r0_02_f07,-1.73871467916667,2.5583538125,control
r0_02_f08,0.527940258333333,3.99020314166667,control
r0_02_f09,-2.13498606805556,3.18315733472222,control
r1_00_f01,-1.06606405972222,1.84600785972222,ablated
r1_00_f02,-0.020712252777778,2.33661071944444,ablated
r1_00_f03,-1.41562735833333,1.853104525,ablated
r1_00_f04,-0.289669758333333,3.34498889166667,ablated
r1_00_f05,-1.64520871527778,2.77007601527778,ablated
r1_00_f06,-1.1605835625,1.3936335625,ablated
r1_00_f07,-1.06112549027778,1.13542132361111,ablated
r1_00_f08,-0.633718445833333,0.940070045833333,ablated
r1_00_f09,-2.75819009166667,2.83715879166667,ablated
r1_01_f01,-1.1283487875,2.32491082083333,ablated
r1_01_f02,-2.59227841944444,3.17244545277778,ablated
r1_01_f03,-1.16816214305556,2.04974154305556,ablated
r1_01_f04,-0.712854166666667,2.78567986666667,ablated
r1_01_f05,-1.7957169875,3.18060052083333,ablated
r1_01_f06,-1.146782725,2.80216639166667,ablated
r1_01_f07,-1.17136060277778,3.17066833611111,ablated
r1_01_f08,-1.09233933888889,3.49635220555556,ablated
r1_01_f09,-1.10093895277778,2.75204235277778,ablated
r1_02_f01,-1.81156586805556,2.85956893472222,ablated
r1_02_f02,-0.859917154166667,3.10054665416667,ablated
r1_02_f03,-0.378939465277777,2.12264866527778,ablated
r1_02_f04,-0.891771181944445,3.62411588194444,ablated
r1_02_f05,-0.494420430555556,3.00456836388889,ablated
r1_02_f06,-2.5789505375,3.10251170416667,ablated
r1_02_f07,-0.615558665277778,2.93773969861111,ablated
r1_02_f08,-0.502014394444445,2.97376742777778,ablated
r1_02_f09,-2.20052012777778,2.59142559444444,ablated
