fish,dspeed,baseline,group
r0_00_ f01,-1.07164171527778,1.39389028194444,control
r0_00_ f02,-0.756809820833333,1.3820098875,control
r0_00_ f03,0.144539329166667,0.085737070833333,control
r0_00_ f04,-0.538980733333333,0.676193466666667,control
r0_00_ f05,-1.23061734305556,1.97033567638889,control
r0_00_ f06,-1.19280540416667,1.29202177083333,control
r0_00_ f07,-0.672338048611111,1.82407808194444,control
r0_00_ f08,-1.92398124027778,1.92398124027778,control
r0_00_ f09,-0.184078919444444,0.191100952777778,control
r0_01_ f01,-0.529240218055556,0.568351218055556,control
r0_01_ f02,-0.411936936111111,0.457682302777778,control
r0_01_ f03,-0.748637834722222,2.08037213472222,control
r0_01_ f04,-1.21914184305556,1.93904887638889,control
r0_01_ f05,-1.64269471388889,2.27880704722222,control
r0_01_ f06,-1.77584161944444,2.08583621944444,control
r0_01_ f07,-1.53336443472222,1.57750263472222,control
r0_01_ f08,-1.79999096666667,2.1412207,control
r0_01_ f09,-1.37576571944444,2.31552308611111,control
r1_00_ f01,0.440148341666667,0.133921425,ablated
r1_00_ f02,-0.9367737,1.6692104,ablated
r1_00_ f03,0.060649029166667,0.423613604166667,ablated
r1_00_ f04,1.29873918055556,0.727750919444444,ablated
r1_00_ f05,0.380388343055556,0.063830056944444,ablated
r1_00_ f06,0.011209894444444,0.126432905555556,ablated
r1_00_ f07,0.84104668125,0.08532531875,ablated
r1_00_ f08,0.026989195833333,0.137961470833333,ablated
r1_00_ f09,0.265736109722222,0.094884956944445,ablated
r1_01_ f04,0.048271872916667,0.108478527083333,ablated
r1_01_ f05,0.058270122222222,0.094348311111111,ablated
r1_01_ f08,-0.375922166666667,0.375922166666667,ablated
